,Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,1,64,50,0.108131799342331,0.1157413333139419,0.1852406901318069,0.1809849404384316,0.139999994104424,0.112428349885386,White LED,12.5 mA,b'OK Read',11:05:52,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
60,2,1,64,50,0.1062039774833486,0.1102547382635809,0.2107136395893158,0.1893175644822968,0.1634782777873049,0.1017208204727088,White LED,12.5 mA,b'OK Read',11:08:00,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
120,3,1,64,50,0.1112863735218939,0.0951012525806965,0.1470312833932233,0.1416548540331332,0.1319999923357513,0.1028680647032401,White LED,12.5 mA,b'OK Read',11:10:40,68.76208295,53.951703565,14.810379385,3.169046667,2.4842313165,0.68481535
180,4,1,64,50,0.1232036603875551,0.1013716530527129,0.1693201010827838,0.1576535160252757,0.1513043556441333,0.1089866171937922,White LED,12.5 mA,b'OK Read',11:14:02,47.9094213,40.38661510666666,7.522806188666666,2.460385592,2.0767829386666667,0.383602653
240,5,1,64,50,0.1300385512146711,0.0995427737355168,0.1444090716000609,0.1436546824020184,0.1420869542916734,0.1177819894833026,White LED,12.5 mA,b'OK Read',11:17:08,68.21059002,50.84116542,17.369424596666665,3.4934260746666665,2.603808757,0.8896173176666666
300,6,1,64,50,0.13950227375336,0.140822978103235,0.1502154151611718,0.1724856260693436,0.1215651913995043,0.1476099224490424,White LED,12.5 mA,b'OK Read',11:19:32,81.34927259666667,60.72458560333333,20.62468699,3.3983087493333333,2.536473219,0.8618355299999999
360,7,1,64,50,0.0953382352394787,0.1107772752113512,0.1934819271960317,0.1833180443345805,0.1462608746661722,0.0963670974691775,White LED,12.5 mA,b'OK Read',09:51:45,36.44570198,29.23265505,7.213046929666667,2.1326807973333337,1.7105445086666666,0.4221362883333333
420,8,1,64,50,0.1070802845634452,0.1102547382635809,0.2039707743686814,0.1911507375670199,0.1546087154151698,0.109751446680813,White LED,12.5 mA,b'OK Read',10:02:56,37.14803392333333,28.63022172333333,8.517812203,1.997450140333333,1.5388266443333334,0.458623496
480,9,1,64,50,0.122502620692059,0.1039843377915645,0.1470312833932233,0.145987821339228,0.1358261105772749,0.1082217877067713,White LED,12.5 mA,b'OK Read',10:15:13,70.5166034,55.43343786666667,15.083165533333334,4.077508378666667,3.204930490666667,0.872577888
540,10,1,64,50,0.0927094035279059,0.094317447159041,0.118561555353174,0.1244896400929162,0.103478264522259,0.0848948219750941,White LED,12.5 mA,b'OK Read',10:27:02,82.02300503666667,62.38617182666667,19.63683321,3.761236852,2.8608636806666667,0.900373171
600,11,1,64,50,0.1358219272629013,0.1227955392076139,0.1593931738849201,0.1656528645418772,0.1375651949368499,0.1265774451784277,White LED,12.5 mA,b'OK Read',10:39:05,63.28068818666666,47.07241832,16.20826986333333,3.677654537,2.735591449333333,0.9420630876666666
660,12,1,64,50,0.1214511059131732,0.1183540180527935,0.1547106353780216,0.1606532760991338,0.1316521533554265,0.1009559909856879,White LED,12.5 mA,b'OK Read',10:51:35,77.04650994666666,56.32364402333334,20.72286592333333,3.251554375,2.3770016386666666,0.8745527363333334
720,13,1,64,50,0.260602874740238,0.2873938626319435,0.4021352400716115,0.4047996231263851,0.4158260987861231,0.3242829483768037,White LED,12.5 mA,b'OK Read',09:22:01,3.3035533235,2.8669213175,0.4366320055,0.1974848575,0.1726591425,0.024825714
780,14,1,64,50,0.1850683319724222,0.2414108686355197,0.3676718501804029,0.3654695367210867,0.3500869265824665,0.2833652380661057,White LED,12.5 mA,b'OK Read',09:36:16,3.784876565,3.2668034240000003,0.5180731416666666,0.2717835206666667,0.2347666546666666,0.0370168653333333
840,15,1,64,50,0.0904311065855339,0.1102547382635809,0.2045326594481079,0.1941504976408781,0.1471304352696345,0.1082217877067713,White LED,12.5 mA,b'OK Read',09:47:34,32.35809420333334,26.41903437,5.939059834999999,1.844876867,1.506538345,0.3383385223333333
900,16,1,64,50,0.0972660272555555,0.1097322013158106,0.197040625753358,0.1889842188729119,0.1452173945725475,0.1108986909113443,White LED,12.5 mA,b'OK Read',09:58:58,35.12187875666667,28.32920704333333,6.792671712666667,2.027313063,1.635158273,0.3921547903333333
960,17,1,64,50,0.1133894030796655,0.0937949102112707,0.1374789229847375,0.1294891934945991,0.1252173901508655,0.1013384057291984,White LED,12.5 mA,b'OK Read',10:15:23,74.38669213,56.85359930333333,17.53309283,4.018012512666666,3.071872447333333,0.9461400656666664
1020,18,1,64,50,0.08640025516878,0.0896146575303355,0.1374789229847375,0.1291559179673353,0.1067825874459458,0.071892887506969,White LED,12.5 mA,b'OK Read',10:30:32,79.28477832,61.65480810666667,17.62997021,3.866610407,3.007098903333333,0.8595115033333333
1080,19,1,64,50,0.0821941662103313,0.0796864555226996,0.119498042117338,0.1118240137018956,0.104695664106046,0.077246693916115,White LED,12.5 mA,b'OK Read',10:40:20,75.10414122333333,59.13227857666666,15.971862643333331,3.749304507666667,2.951768677,0.7975358303333332
1140,20,1,64,50,0.1232036603875551,0.1013716530527129,0.1472185667879123,0.1453212352436399,0.1325217139588888,0.1082217877067713,White LED,12.5 mA,b'OK Read',10:54:15,71.63745726666667,56.20771498,15.429742283333333,4.064109695333333,3.1906342723333334,0.8734754226666667
1200,21,1,64,50,0.1181212643490099,0.1071195165769591,0.1369170379053111,0.1434880271178563,0.1179130294954927,0.1116635203983652,White LED,12.5 mA,b'OK Read',11:03:55,76.66530224,58.69127977666667,17.974022463333334,4.39391526,3.363820968666667,1.030094291
1260,22,1,64,50,0.1126883932270749,0.0958850580023519,0.140288418172589,0.1338221608006938,0.1302608711288266,0.0986615859302401,White LED,12.5 mA,b'OK Read',11:33:42,85.19250194666667,64.85143948666666,20.34106246,4.295187474666666,3.2673434476666667,1.0278440269999998
1320,23,1,64,50,0.1324921155416435,0.1324624727413645,0.1689454993980463,0.180318319301783,0.1347826304836502,0.1323135829254694,White LED,12.5 mA,b'OK Read',11:45:21,69.94476276,54.57387627333333,15.370886483333337,3.283710392,2.562243418,0.721466974
1380,24,1,64,50,0.1025236608357956,0.08883085210868,0.1346693929015266,0.1239896742404298,0.1233043494537785,0.092543033439688,White LED,12.5 mA,b'OK Read',11:54:39,81.81984705,62.50429527,19.315551783333333,3.8990080816666666,2.9786452516666664,0.92036283
1440,25,1,64,50,0.2264283310759413,0.2837361039975513,0.4171193423564707,0.413798868306899,0.4099130572046996,0.3200764696038037,White LED,12.5 mA,b'OK Read',09:43:32,3.41070477,2.947872014333333,0.4628327556666667,0.2306214636666666,0.2017054476666666,0.0289160153333333
1500,26,1,64,50,0.1933052723476248,0.2881776680535989,0.4066304253931019,0.4114657293696895,0.370782608964798,0.3070745351356786,White LED,12.5 mA,b'OK Read',09:57:07,2.190603067,2.626864099333333,-0.4362610333333332,0.1488308966666666,0.179146263,-0.0303153663333333
1560,27,1,64,50,0.1168945120284292,0.1173089441572529,0.1955422190144081,0.1879843572500602,0.148347798006072,0.1170171599962817,White LED,12.5 mA,b'OK Read',10:06:08,38.89570944666667,31.73094873333333,7.1647607146666665,2.2512337453333333,1.8367533086666663,0.414480437
1620,28,1,64,50,0.1358219272629013,0.1293272510547427,0.2232627785803419,0.213482230275203,0.179304361834488,0.1315487534384486,White LED,12.5 mA,b'OK Read',10:17:39,36.09544379,29.705749296666667,6.3896944976666665,2.0513920156666665,1.687620409,0.3637716066666667
1680,29,1,64,50,0.0927094035279059,0.0906596885246488,0.1232440589647129,0.1236563636721055,0.1069565437834578,0.0948374384951358,White LED,12.5 mA,b'OK Read',10:34:12,68.39430179,54.60691959,13.787382203333332,3.394359327333333,2.710054233,0.6843050943333333
1740,30,1,64,50,0.1048019577781676,0.090920956998534,0.1320471811083642,0.1261561578934772,0.1182608684758175,0.0956023513877714,White LED,12.5 mA,b'OK Read',10:43:25,81.01195287666667,63.666286263333326,17.345666613333336,3.853759244,3.0304454246666666,0.823313819
1800,31,1,64,50,0.1076060270314352,0.0998040851106292,0.1127552117920632,0.1206566035982473,0.1090435039707072,0.1032504794467505,White LED,12.5 mA,b'OK Read',10:58:23,81.18250139333334,63.26055347333333,17.921947923333335,3.9875307023333337,3.107698585333333,0.879832117
1860,32,1,64,50,0.12337889792925,0.1316786673197091,0.1578947322506105,0.1701524871321341,0.1229565104734538,0.1258126156914069,White LED,12.5 mA,b'OK Read',11:07:34,66.79369031666667,53.55938789333334,13.23430242,3.1135619606666665,2.496081643333333,0.6174803173333333
1920,33,1,64,50,0.1244304425510414,0.1026779954221387,0.161828067388034,0.156320308793039,0.142608675914811,0.1101338614243235,White LED,12.5 mA,b'OK Read',11:21:06,73.47294177,57.68933217333333,15.783609596666668,3.5705566216666664,2.801751994,0.7688046280000002
1980,34,1,64,50,0.1417805706957319,0.1220117337859584,0.1859898935012819,0.1773185592279249,0.1700869604820281,0.1281071041524694,White LED,12.5 mA,b'OK Read',11:31:16,66.95608843333332,52.76138108666667,14.19470735,3.343448537666667,2.636444795333333,0.7070037423333333
2040,35,1,64,50,0.1107606012109982,0.1450032736853975,0.1297995709999392,0.1579868265935999,0.0925217419628745,0.1346079879809172,White LED,12.5 mA,b'OK Read',11:40:08,71.145193465,54.896710760000005,16.248482705,4.1816291765,3.2270635160000003,0.9545656605
2100,36,1,64,50,0.1098843538167129,0.1079033219986145,0.1715677111912087,0.1638196914571541,0.1441739144789228,0.1131930959667922,White LED,12.5 mA,b'OK Read',11:56:39,44.26221342333333,36.05453459333333,8.207678825666667,2.010214755,1.637440446,0.3727743089999999
2160,37,1,64,50,0.1100595913584077,0.1290659825808576,0.219329478338278,0.2163153000238384,0.1591304379226437,0.1242829567173651,White LED,12.5 mA,b'OK Read',09:40:40,29.772420676666663,22.723771350000003,7.0486493286666665,1.640031825,1.251697084,0.3883347413333333
2220,38,1,64,50,0.110935838752693,0.1329849667879076,0.1901105120333943,0.199316706326723,0.1382608728974994,0.1177819894833026,White LED,12.5 mA,b'OK Read',09:51:16,39.61552427666667,31.816132606666667,7.799391667000001,2.128249272333333,1.709015408666667,0.4192338636666666
2280,39,1,64,50,0.1244304425510414,0.1554539697395764,0.2749578808648347,0.2671443907899618,0.2130434901161038,0.1594646126866362,White LED,12.5 mA,b'OK Read',10:02:48,19.236042536666663,15.797811886666668,3.438230648,0.9428536686666668,0.7744993156666666,0.1683543533333333
2340,40,1,64,50,0.1112863735218939,0.1180927495789083,0.2110882063786937,0.1996500168950473,0.159304357412806,0.1158699991713652,White LED,12.5 mA,b'OK Read',10:15:47,34.70563768666667,28.1390394,6.566598288333334,2.163304511,1.754169491,0.4091350196666667
2400,41,1,64,50,0.1126883932270749,0.1128674230024325,0.141974178096947,0.1476543391397889,0.1182608684758175,0.1089866171937922,White LED,12.5 mA,b'OK Read',10:24:36,74.95575676,58.81014359666667,16.145613166666667,3.606095533666666,2.830041875666667,0.776053658
2460,42,1,64,50,0.1083070368840258,0.0998040851106292,0.1372916395900486,0.1413215785058695,0.1161739082885681,0.1001912449042818,White LED,12.5 mA,b'OK Read',10:37:58,70.77118043333334,55.27762766,15.493552773333334,3.489432792666667,2.725874698,0.7635580943333333
