Leaf No.,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Avg Total Chlorophyll (µg/cm2),leaf
1,0.1409840497431738,0.0601385845688418,0.0773229522100926,0.0545593632464232,0.0910793928454013,0.1710542804035003,0.1785518119097059,0.1189321256182587,0.129336906000237,0.0688889402947095,0.1131313484501477,0.1928495575221238,0.4902795698924732,0.448522638701906,0.3988650572280465,0.4468955356969779,0.4363924263863621,0.3939511740009329,38.76835883666666,banana
2,0.1409840497431738,0.0683023946434728,0.0874382936810384,0.0651506734543335,0.0967117628449671,0.1582308222468202,0.1699109116484694,0.1270246111673917,0.1089740213569989,0.0845497235651993,0.1167852584835399,0.1928495575221238,0.455268817204301,0.4545454545454546,0.4072969766919945,0.4778723321767111,0.4605484805606091,0.4166537085989737,71.40923659666667,banana
3,0.1409840497431738,0.0652437464547487,0.0831975110318977,0.0635205405848443,0.0943670096953681,0.1578966604707503,0.1727912117355482,0.1251534473511709,0.1127463889291216,0.0814268199588239,0.1167852584835399,0.1928495575221238,0.4630537634408602,0.460639127045986,0.4016863838927896,0.4645937930098668,0.4539451519439391,0.4091121132016794,63.859104163333335,banana
4,0.1281427412814274,0.0601385845688418,0.0776512708668003,0.052929230376934,0.0751189434964115,0.1174108727887888,0.131743586308527,0.0896609260473154,0.0693806206960116,0.0605380647250688,0.1040053147782303,0.1691327433628318,0.4669247311827956,0.4666619428895345,0.3595588471033311,0.4203578420919999,0.418873391280911,0.3864095786036386,58.83652668666667,banana
5,0.1409840497431738,0.0560678018885762,0.0685169768105405,0.0570000091068875,0.0769922647958265,0.1251696915269104,0.149025386831,0.1046064000953459,0.0927587659815397,0.0678479724259178,0.1058410112064896,0.1869734513274336,0.4941505376344086,0.4848721037341458,0.4016863838927896,0.4668036520828891,0.4561350313321205,0.4091121132016794,60.81972601666666,banana
6,0.1538253582049202,0.0703377859836056,0.0946183100188001,0.0643310535758193,0.1070398421943912,0.1872454627096342,0.2080648402438207,0.1500625707645551,0.1478136068574137,0.09290059913484,0.1277295057605902,0.231433628318584,0.5097204301075269,0.4908949195776943,0.4410246545477862,0.4999903076356446,0.4802573950542416,0.43181464779972,50.814208576666665,banana
7,0.1409840497431738,0.0703377859836056,0.0936372626041141,0.0627009207063302,0.0962465340454435,0.1602566780142436,0.1691874874405519,0.1239139503009355,0.1315983514819545,0.0824677878276157,0.1350373258273746,0.2017699115044247,0.4630537634408602,0.4666619428895345,0.4269500817543522,0.4911508713435555,0.4627383599487905,0.4166537085989737,66.93767025666666,banana
8,0.1409840497431738,0.0652437464547487,0.0802621858987136,0.0651506734543335,0.089199868495326,0.1366408387460579,0.1569428628843191,0.1139503009355819,0.0976635021791512,0.0772398158643503,0.1094949212398818,0.1780530973451327,0.4669247311827956,0.4908949195776943,0.4185502228206855,0.4933607304165778,0.4693079981133347,0.4242730524024257,81.5243058,banana
9,0.1538253582049202,0.0683023946434728,0.0776512708668003,0.070031965175262,0.0981198553448585,0.1572178943631085,0.1821421394601111,0.1382277575829807,0.1093525748219152,0.0918596312660482,0.1094949212398818,0.1928495575221238,0.4474838709677419,0.448522638701906,0.3988650572280465,0.4668036520828891,0.4671181187251533,0.4242730524024257,72.42418948,banana
10,0.1409840497431738,0.0642204896061573,0.0750403558348869,0.0635205405848443,0.0873265471959109,0.1511455483385894,0.1720677875276308,0.1207913711936118,0.1070878375709376,0.0761988479955585,0.1113131348450147,0.184,0.4786236559139785,0.460639127045986,0.3960757910935847,0.4557543567177777,0.4451856343912136,0.4014927693982273,44.169886743333336,banana
11,0.1666666666666666,0.0693145291350143,0.087766612337746,0.0659611864453085,0.1248798158934564,0.2486529103402184,0.272851497086208,0.1899171682259698,0.1647826773934454,0.0991695389668972,0.1368555394325075,0.2937345132743362,0.552516129032258,0.4908949195776943,0.4016863838927896,0.4424758175509333,0.4363924263863621,0.4014927693982273,20.28692242,banana
12,0.1409840497431738,0.0662558809462901,0.083850239789876,0.0618904077153551,0.0906079609952174,0.1464255132516029,0.1663071873534731,0.1176807103271557,0.1123678354642053,0.0772398158643503,0.1058410112064896,0.1899469026548672,0.4591397849462366,0.4545454545454546,0.4101183033567375,0.4734526140306667,0.4605484805606091,0.4166537085989737,61.64959248,banana
13,0.1409840497431738,0.0672791377948815,0.0949427201200708,0.0586301419763767,0.1009360403446415,0.1896107015308786,0.1972670641034228,0.137608009057863,0.130844536321382,0.0824677878276157,0.1204391685169321,0.2196106194690265,0.4824946236559139,0.4545454545454546,0.4072969766919945,0.4645937930098668,0.4429957550030322,0.4014927693982273,36.97672773666667,banana
14,0.1538253582049202,0.0733964341723298,0.0959198589793198,0.0627009207063302,0.1051665208949761,0.1919707190743718,0.2001473641905017,0.1351170967165246,0.1274507222141757,0.0782807837331421,0.1131313484501477,0.2344070796460177,0.5058494623655914,0.4727556153900659,0.4072969766919945,0.4601740748638223,0.4539451519439391,0.4091121132016794,35.73444939666666,banana
15,0.1281427412814274,0.0621850982660245,0.077975680968071,0.0553789831249373,0.0812227453461612,0.1288820200079363,0.1447116350726773,0.0990048268875514,0.091629689125311,0.066807004557126,0.1021871011730974,0.1691327433628318,0.4474838709677419,0.4666619428895345,0.4016863838927896,0.4668036520828891,0.4583249107203019,0.4166537085989737,73.11829635666666,banana
