,Leaf No.,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,1,64,50,0.1127116127116127,0.1179511856668047,0.1746407445351169,0.0967174194021504,0.1629687880319796,0.2252292329593032,0.0702418648521188,0.0762017260498529,0.1423190363986884,0.0707415814475932,0.110689698560207,0.107693437087065,0.3926877293475342,0.3424887892376682,0.1948931231260276,0.1521904761904762,0.1148325358851674,0.1162291169451074,b'White',12.5 mA,b'OK Read',10:17:10,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,1,64,50,0.2861445783132529,0.2850467289719626,0.285958904109589,0.3748251748251748,0.2669603524229075,0.2216494845360824,0.455160744500846,0.3999999999999999,0.5007278020378456,0.3073863636363636,0.5452961672473868,0.4605504587155963,0.4542713567839196,0.4209230769230769,0.4016714422158548,0.3980323351488665,0.2921987462270722,0.3888255416191562,b'IR',12.5 mA,b'OK Read',10:17:11,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
2,1,1,64,50,0.1418572306343982,0.0615986009669787,0.0120414853914513,0.010820100697134,0.0133302014211051,0.0366106812606152,0.0782204129107298,0.085132382892057,0.100349040139616,0.1218918918918919,0.5,0.1353965183752417,0.7486187845303868,0.2514619883040935,0.2514285714285714,0.0,0.0665983606557377,0.0765588003157063,b'UV',12.5 mA,b'OK Read',10:17:12,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
3,1,1,64,50,0.1281427412814274,0.1182417777975508,0.1680248896810227,0.0985365231724753,0.1638473801415536,0.2253712328481025,0.0734275571036238,0.080328943447947,0.1429121624290623,0.0814268199588239,0.1094949212398818,0.1187256637168141,0.392989247311828,0.3454262027917523,0.3342630887114872,0.3738926473724,0.2675358803315141,0.3106048825999067,b'White IR',12.5 mA,b'OK Read',10:17:13,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
4,1,1,64,50,0.1510439744880832,0.0878256079326355,0.1456596074536162,0.0761171202967453,0.149782079000652,0.2207861398412966,0.0705338115286657,0.0769276072463426,0.1417797938035735,0.0755205427481086,0.1058410112064896,0.1095771060920849,0.3920060131759296,0.3422518634758729,0.1967443165871456,0.1489560029828486,0.1111585235758481,0.1132842757552285,b'White UV',12.5 mA,b'OK Read',10:17:14,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
5,1,1,64,50,0.2529033252767285,0.1120373501183447,0.0304272569918921,0.0292920312573113,0.0614279091330551,0.0798514391829155,0.2323669407183037,0.2790387182910547,0.300174520069808,0.32764257173992,0.5003422313483915,0.3225558121632024,0.5382653061224489,0.4287305122494432,0.3999904888719802,0.3980323351488665,0.2910536171513739,0.375026726534103,b'UV IR',12.5 mA,b'OK Read',10:17:15,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
6,1,1,64,50,0.2388954054029479,0.1137892650944319,0.1557547605660033,0.0863228786135203,0.1572594728025051,0.2233745162173753,0.0747997373604727,0.0812268840255365,0.1429121624290623,0.0867441544932386,0.1180796153574206,0.1242755088286831,0.3976782894456062,0.3493908021691668,0.3333226765561558,0.3738926473724,0.266218867422605,0.3043801591433033,b'White UV IR',12.5 mA,b'OK Read',10:17:16,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
252,2,1,64,50,0.1407781407781407,0.1066708445707763,0.149083658145021,0.10573741188549,0.1724116409843534,0.2485607519678445,0.0767499831570437,0.0931970493225977,0.2223467185157112,0.0971380431984648,0.138838459187892,0.1322860079283511,0.4372594647811689,0.3766816143497757,0.2457684495599187,0.2173333333333333,0.1475698816419038,0.1627684964200477,b'White',12.5 mA,b'OK Read',10:30:06,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
253,2,1,64,50,0.2861445783132529,0.2850467289719626,0.285958904109589,0.3748251748251748,0.3330396475770925,0.2216494845360824,0.455160744500846,0.3999999999999999,0.5007278020378456,0.3073863636363636,0.5452961672473868,0.4605504587155963,0.4542713567839196,0.4209230769230769,0.3765520534861509,0.3734688166024412,0.2770683383639037,0.3777651083238312,b'IR',12.5 mA,b'OK Read',10:30:07,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
254,2,1,64,50,0.1081987358714342,0.0502828927065116,0.0120414853914513,0.0086657629744384,0.0133302014211051,0.0366106812606152,0.0782204129107298,0.085132382892057,0.100349040139616,0.134054054054054,0.6677316293929711,0.1353965183752417,0.7486187845303868,0.5,0.2514285714285714,0.0,0.0665983606557377,0.0765588003157063,b'UV',12.5 mA,b'OK Read',10:30:07,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
255,2,1,64,50,0.1538253582049202,0.1080536987398369,0.1481225253958389,0.1074885936233573,0.1727673669910862,0.2486529103402184,0.0799115814856989,0.0965139145462129,0.2228494871423492,0.1064794466677462,0.1423276630710327,0.1424424778761062,0.4396989247311827,0.3757528519804435,0.3342630887114872,0.3561943900595111,0.2587763627787885,0.3106048825999067,b'White IR',12.5 mA,b'OK Read',10:30:08,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
256,2,1,64,50,0.1176770728432359,0.0767941708831167,0.1296933252349808,0.0829198413851807,0.1593053982634956,0.2449502323174886,0.0775118249389261,0.093535772338571,0.2220956719817767,0.1017206364792787,0.1350373258273746,0.1348435091481804,0.4520051288853517,0.3825029423303256,0.2458602301431378,0.2127143922445936,0.138894815446981,0.1510457010069713,b'White UV',12.5 mA,b'OK Read',10:30:09,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
257,2,1,64,50,0.194410560349714,0.0929721434702317,0.0304272569918921,0.0292920312573113,0.0614279091330551,0.0798514391829155,0.2323669407183037,0.2790387182910547,0.300174520069808,0.3443516164184526,0.7145790554414785,0.3225558121632024,0.6156462585034015,0.4287305122494432,0.3749762221799505,0.3734688166024412,0.2761111323422632,0.3645499251657045,b'UV IR',12.5 mA,b'OK Read',10:30:10,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
258,2,1,64,50,0.1862889513261863,0.0997773754770525,0.1381164024195887,0.0939225665938105,0.1662157922465385,0.2467459320921628,0.0811556139198949,0.0978468279582558,0.2228494871423492,0.1122518203609063,0.1586650639892526,0.1496832457204475,0.4555930177969357,0.3915768716106768,0.3333226765561558,0.3561943900595111,0.2575732384530974,0.3043801591433033,b'White UV IR',12.5 mA,b'OK Read',10:30:11,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
504,3,1,64,50,0.1127116127116127,0.1210286596761378,0.1805364201238013,0.0999990833340972,0.1686357480324789,0.2242139088929827,0.2577780772081116,0.2531459428185719,0.2657615053798876,0.1858516837104813,0.1726133769525281,0.2830715019820878,0.3441331781974402,0.3082158872517617,0.2966437759938098,0.239047619047619,0.2294132460337446,0.2324582338902148,b'White',12.5 mA,b'OK Read',10:42:38,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
505,3,1,64,50,0.1430722891566264,0.1433021806853582,0.285958904109589,0.2503496503496503,0.2669603524229075,0.2216494845360824,0.544839255499154,0.4497607655502392,0.5007278020378456,0.3846590909090909,0.7273519163763066,0.5376146788990825,0.3638190954773869,0.3156923076923076,0.3807545367717287,0.3857398118447396,0.397995511183345,0.4777651083238312,b'IR',12.5 mA,b'OK Read',10:42:39,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
506,3,1,64,50,0.2177549572034846,0.08485409594349,0.0137734798655642,0.0151529821843532,0.0177931763462328,0.0366106812606152,0.062518173887758,0.0639511201629327,0.100349040139616,0.0975675675675675,0.1661341853035143,0.1353965183752417,0.5,0.2514619883040935,0.2514285714285714,0.0,0.1331967213114754,0.0765588003157063,b'UV',12.5 mA,b'OK Read',10:42:40,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
507,3,1,64,50,0.1154366044876993,0.121300425986275,0.1810755562851525,0.1009771690329396,0.1680778606918882,0.2233453770806792,0.2606202692745663,0.2559203861510041,0.2662152553754592,0.1941520738393208,0.1770135841535691,0.2908318584070796,0.3463225806451613,0.3090767377595125,0.353916193773845,0.3716827882993778,0.3771983020012128,0.4014927693982273,b'White IR',12.5 mA,b'OK Read',10:42:41,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
508,3,1,64,50,0.2328083249412554,0.1039445604321842,0.1571427133283893,0.0798264371872859,0.1545465984877083,0.2194644659259145,0.2513904049066999,0.2492284859478433,0.2654614402148867,0.1802539668370193,0.180650011363835,0.2725018430400107,0.3560153866560552,0.3154178109062377,0.2950696978201889,0.2554064131245339,0.2082355451248133,0.2075910147172734,b'White UV',12.5 mA,b'OK Read',10:42:42,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
509,3,1,64,50,0.3896781741587045,0.1537571201914323,0.0342078892229206,0.0376678676711431,0.0614279091330551,0.0798514391829155,0.2094331458243185,0.2790387182910547,0.3996509598603839,0.3112967671630948,0.5003422313483915,0.3872209391839876,0.461734693877551,0.3335189309576837,0.3791611185086551,0.3857398118447396,0.3955363625941071,0.4583066067992303,b'UV IR',12.5 mA,b'OK Read',10:42:42,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
510,3,1,64,50,0.3691226347327168,0.1339661415011253,0.1680138671518259,0.0897828991573923,0.1612907044888149,0.2217054984575796,0.2575837163493106,0.2547645409785861,0.2662152553754592,0.1928678033557957,0.1937354168139715,0.2937727456530529,0.3590969228799454,0.3132614972885414,0.3529204897854791,0.3716827882993778,0.3722940843946397,0.391314047742991,b'White UV IR',12.5 mA,b'OK Read',10:42:43,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
756,4,1,64,50,0.1407781407781407,0.1169216307255005,0.1608789345391599,0.1303315580570349,0.1988678562289751,0.2556627868028805,0.1788587212827595,0.2109589701557302,0.3329565489627444,0.1964055881871153,0.1894918483633814,0.2430626927029804,0.4007876129956144,0.3492953235105701,0.3390076409710803,0.3043809523809524,0.2294132460337446,0.2558472553699284,b'White',12.5 mA,b'OK Read',10:55:52,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
757,4,1,64,50,0.2861445783132529,0.2850467289719626,0.285958904109589,0.3748251748251748,0.2669603524229075,0.2216494845360824,0.455160744500846,0.4497607655502392,0.5007278020378456,0.3846590909090909,0.7273519163763066,0.4605504587155963,0.4542713567839196,0.4209230769230769,0.4058739255014326,0.4103248584529934,0.3526429842891417,0.4444697833523375,b'IR',12.5 mA,b'OK Read',10:55:53,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
758,4,1,64,50,0.1271749536787856,0.0578266982134897,0.0120414853914513,0.010820100697134,0.0133302014211051,0.0366106812606152,0.062518173887758,0.0639511201629327,0.100349040139616,0.1097297297297297,0.5,0.1083172147001934,0.5,0.2514619883040935,0.2514285714285714,0.0,0.0665983606557377,0.0765588003157063,b'UV',12.5 mA,b'OK Read',10:55:54,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
759,4,1,64,50,0.1538253582049202,0.1172296433060094,0.1605204632419903,0.1319223728906171,0.1995335305903443,0.2550594181408074,0.1807086877888673,0.213574876348251,0.332955877124837,0.2045848851465451,0.1843039213972272,0.2522477876106195,0.4046881720430107,0.3515198752922837,0.3820332788304318,0.3982204819043557,0.3355232127215147,0.3864095786036386,b'White IR',12.5 mA,b'OK Read',10:55:55,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
760,4,1,64,50,0.1352534407519302,0.084853647132891,0.1392167192947722,0.1014871869398827,0.1831165562762391,0.2505801533756474,0.1745802796403139,0.2073782656835261,0.3322020619642645,0.1913454886295164,0.1843039213972272,0.2303464915220159,0.4039881505062564,0.3489996076892899,0.3360464028440452,0.2979120059656973,0.2082355451248133,0.2263749031758327,b'White UV',12.5 mA,b'OK Read',10:55:55,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
761,4,1,64,50,0.2245162636096915,0.1048846463963378,0.0304272569918921,0.0292920312573113,0.0614279091330551,0.0798514391829155,0.2094331458243185,0.2790387182910547,0.3996509598603839,0.32764257173992,0.5003422313483915,0.3225558121632024,0.5382653061224489,0.4287305122494432,0.4041753852006847,0.4103248584529934,0.3482630794512172,0.4270900149668591,b'UV IR',12.5 mA,b'OK Read',10:55:56,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
762,4,1,64,50,0.2117306345872318,0.1093061943438692,0.1488784869332894,0.1146440735563296,0.1913088775890748,0.2530912999219747,0.1792514773473408,0.2123018210087399,0.3333344305897533,0.2040839401203021,0.1900410096867708,0.2485510176573662,0.409286842217575,0.3554475667300514,0.3809584705393394,0.3982204819043557,0.3333222491936288,0.3768126719714434,b'White UV IR',12.5 mA,b'OK Read',10:55:57,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
1008,5,1,64,50,0.1127116127116127,0.1241061336854709,0.1910206741167281,0.0934449221292315,0.1629687880319796,0.2269196951934349,0.2128949673246648,0.1738103273709078,0.1581736393745159,0.1066622984578662,0.1444646163248431,0.2246366172368227,0.3522330618455205,0.3151024983984625,0.2288422477995937,0.1739047619047619,0.1639385545202719,0.1627684964200477,b'White',12.5 mA,b'OK Read',11:11:06,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
1009,5,1,64,50,0.2861445783132529,0.1433021806853582,0.285958904109589,0.3748251748251748,0.2669603524229075,0.2216494845360824,0.6362098138747885,0.5502392344497608,0.5007278020378456,0.3590909090909091,0.7273519163763066,0.6146788990825688,0.3638190954773869,0.3156923076923076,0.4058739255014326,0.4078491313427052,0.4282176302143797,0.5,b'IR',12.5 mA,b'OK Read',11:11:06,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
1010,5,1,64,50,0.2093980861836558,0.0867400473202345,0.0154848553578424,0.0151529821843532,0.0133302014211051,0.0366106812606152,0.062518173887758,0.085132382892057,0.100349040139616,0.0854054054054054,0.5,0.1618310767246937,0.5,0.2514619883040935,0.2514285714285714,0.5,0.1331967213114754,0.0765588003157063,b'UV',12.5 mA,b'OK Read',11:11:07,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
1011,5,1,64,50,0.1281427412814274,0.1274177223637233,0.1951072703039683,0.0879452129645651,0.1563354857919124,0.2243583049643908,0.2159823162971398,0.1780823550443954,0.1606350481256665,0.1179532258437622,0.1624154268431266,0.2373805309734513,0.365763440860215,0.3272868986041238,0.3455163348401783,0.3849613274662221,0.3925611481706085,0.3939511740009329,b'White IR',12.5 mA,b'OK Read',11:11:08,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
1012,5,1,64,50,0.2223645518630412,0.1073377804730139,0.1689076955601118,0.0686915661483311,0.1437249047668073,0.2201253028836056,0.2074042309891366,0.1716883789959716,0.1595026795001777,0.1057376866254547,0.1441633594992919,0.2190871925474164,0.3640182163859044,0.3221655551196548,0.229488258957807,0.1914615958240119,0.1527629613825474,0.1510457010069713,b'White UV',12.5 mA,b'OK Read',11:11:09,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
1013,5,1,64,50,0.3724736195317495,0.1561370197934819,0.0380340712398651,0.0376678676711431,0.0614279091330551,0.099969049829774,0.2323669407183037,0.3021806853582555,0.3996509598603839,0.2786051580094442,0.6427104722792608,0.4195535026943803,0.461734693877551,0.3335189309576837,0.4041753852006847,0.4078491313427052,0.4253831161386479,0.4791533033996151,b'UV IR',12.5 mA,b'OK Read',11:11:10,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
1014,5,1,64,50,0.3505823945006683,0.1378926509443194,0.1805666479240458,0.0780358204805412,0.1500908655012993,0.2220362016669508,0.2131188443860801,0.1772244340267144,0.1606350481256665,0.1183573786802948,0.1642155129746164,0.2372961315541178,0.3667790533908071,0.3253045989154165,0.3445442629240065,0.3849613274662221,0.3896185947527683,0.3768126719714434,b'White UV IR',12.5 mA,b'OK Read',11:11:10,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
