,Leaf No.,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
3,1,1,64,50,0.1281427412814274,0.1182417777975508,0.1680248896810227,0.0985365231724753,0.1638473801415536,0.2253712328481025,0.0734275571036238,0.080328943447947,0.1429121624290623,0.0814268199588239,0.1094949212398818,0.1187256637168141,0.392989247311828,0.3454262027917523,0.3342630887114872,0.3738926473724,0.2675358803315141,0.3106048825999067,b'White IR',12.5 mA,b'OK Read',10:17:13,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
255,2,1,64,50,0.1538253582049202,0.1080536987398369,0.1481225253958389,0.1074885936233573,0.1727673669910862,0.2486529103402184,0.0799115814856989,0.0965139145462129,0.2228494871423492,0.1064794466677462,0.1423276630710327,0.1424424778761062,0.4396989247311827,0.3757528519804435,0.3342630887114872,0.3561943900595111,0.2587763627787885,0.3106048825999067,b'White IR',12.5 mA,b'OK Read',10:30:08,8.262535663,7.00980406,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.1352893716666666
507,3,1,64,50,0.1154366044876993,0.121300425986275,0.1810755562851525,0.1009771690329396,0.1680778606918882,0.2233453770806792,0.2606202692745663,0.2559203861510041,0.2662152553754592,0.1941520738393208,0.1770135841535691,0.2908318584070796,0.3463225806451613,0.3090767377595125,0.353916193773845,0.3716827882993778,0.3771983020012128,0.4014927693982273,b'White IR',12.5 mA,b'OK Read',10:42:41,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.1159149186666666
759,4,1,64,50,0.1538253582049202,0.1172296433060094,0.1605204632419903,0.1319223728906171,0.1995335305903443,0.2550594181408074,0.1807086877888673,0.213574876348251,0.332955877124837,0.2045848851465451,0.1843039213972272,0.2522477876106195,0.4046881720430107,0.3515198752922837,0.3820332788304318,0.3982204819043557,0.3355232127215147,0.3864095786036386,b'White IR',12.5 mA,b'OK Read',10:55:55,4.119555461333333,3.787223440333333,0.332332021,0.417294756,0.383583945,0.0337108106666666
1011,5,1,64,50,0.1281427412814274,0.1274177223637233,0.1951072703039683,0.0879452129645651,0.1563354857919124,0.2243583049643908,0.2159823162971398,0.1780823550443954,0.1606350481256665,0.1179532258437622,0.1624154268431266,0.2373805309734513,0.365763440860215,0.3272868986041238,0.3455163348401783,0.3849613274662221,0.3925611481706085,0.3939511740009329,b'White IR',12.5 mA,b'OK Read',11:11:08,22.37215188,18.450766703333333,3.921385175333333,2.047048235333333,1.6880857786666663,0.3589624566666667
1263,6,1,64,50,0.1538253582049202,0.121300425986275,0.1706358047129361,0.1131895052228,0.1882625875405524,0.259445291451724,0.0748744055194587,0.0834396043144032,0.2439661869461598,0.0991695389668972,0.1624154268431266,0.1364955752212389,0.400774193548387,0.3454262027917523,0.3398736815106922,0.3606141082055557,0.2368438784448487,0.287902348001866,b'White IR',12.5 mA,b'OK Read',11:23:30,6.642405665333334,5.945800224666667,0.6966054406666666,0.7518668403333333,0.6729733923333333,0.0788934486666666
1515,7,1,64,50,0.1281427412814274,0.1182417777975508,0.1712885334709144,0.1083082135018714,0.1802792613407274,0.2341429794699358,0.150472235246835,0.1793218520946308,0.2737566987504444,0.1680584792616068,0.1624154268431266,0.2284601769911504,0.3618924731182795,0.3151704102600439,0.367990766567279,0.3915909046852889,0.3267636951687891,0.3712486394028922,b'White IR',12.5 mA,b'OK Read',11:37:11,6.802617245333333,6.0167739503333335,0.7858432956666667,0.6873532676666668,0.6083133003333333,0.079039967
1767,8,1,64,50,0.1666666666666666,0.1264055878721818,0.1765103635347411,0.131102753012103,0.2107982705894759,0.2746287671518974,0.0741509813115413,0.0853107681306239,0.2707381463388942,0.118994193712554,0.1970838651025367,0.1364955752212389,0.400774193548387,0.3454262027917523,0.3230419031130775,0.3296373117258224,0.2302742402803045,0.287902348001866,b'White IR',12.5 mA,b'OK Read',11:49:59,3.1912899953333334,2.950135578,0.2411544173333333,0.3944828849999999,0.364212291,0.030270594
2019,9,1,64,50,0.1281427412814274,0.1274177223637233,0.1967371379211956,0.0977169032939612,0.1619740588421385,0.2334694346400451,0.2282269408533726,0.2335021750789583,0.2726243301249555,0.1837192625320965,0.1879578314306194,0.2789380530973451,0.400774193548387,0.3454262027917523,0.3736013593664839,0.3982204819043557,0.3684387844484872,0.4091121132016794,b'White IR',12.5 mA,b'OK Read',9:43:04,6.970479356666666,6.045766428333333,0.9247129283333332,0.6367286193333334,0.5523267339999999,0.0844018856666666
2271,10,1,64,50,0.0897539875642065,0.0591264500773003,0.0655777431219195,0.0537488502554482,0.0798146528462697,0.1703807355736095,0.1742246634067921,0.099624575412669,0.1327307201074433,0.059497096856277,0.1660518540533925,0.1987964601769911,0.365763440860215,0.2545171118826613,0.2050591516783687,0.1703529959098222,0.2302742402803045,0.1742341781993469,b'White IR',12.5 mA,b'OK Read',9:59:32,21.4643025,17.7246249,3.739677599,2.176717850333333,1.7971427210000002,0.3795751293333333
